"Order ID","Customer ID","Customer Name",Segment,"Product ID","Product Name",Category,Sub-Category,Quantity,Sales,Discount,Profit,"Order Date","Ship Date","Ship Mode",Region,Country,City,State
CA-2017-106859,BF-11215,"Benjamin Farhat","Home Office",OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","Office Supplies",Storage,8,90.8,0,25.424,2017-03-13,2017-03-18,"Second Class",West,"United States",Albuquerque,"New Mexico"
CA-2017-110198,AG-10900,"Arthur Gainer",Consumer,FUR-BO-10001798,"Bush Somerset Collection Bookcase",Furniture,Bookcases,3,314.352,0.2,-15.7176,2017-05-01,2017-05-02,"First Class",South,"United States","Coral Springs",Florida
CA-2016-131205,AA-10645,"Anna Andreadi",Consumer,FUR-FU-10003347,"Coloredge Poster Frame",Furniture,Furnishings,3,42.6,0,16.614,2016-09-04,2016-09-08,"Standard Class",South,"United States",Georgetown,Kentucky
CA-2015-140921,AA-10375,"Allen Armold",Consumer,FUR-FU-10003347,"Coloredge Poster Frame",Furniture,Furnishings,2,28.4,0,11.076,2015-02-03,2015-02-05,"First Class",Central,"United States",Omaha,Nebraska
US-2014-164406,BD-11605,"Brian Dahlen",Consumer,OFF-BI-10002309,"Avery Heavy-Duty EZD  Binder With Locking Rings","Office Supplies",Binders,4,17.856,0.2,6.2496,2014-08-15,2014-08-19,"Standard Class",West,"United States","San Francisco",California
CA-2016-105746,BD-11605,"Brian Dahlen",Consumer,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,1,170.786,0.3,0,2016-12-30,2017-01-01,"First Class",East,"United States",Lancaster,Pennsylvania
CA-2014-154963,AA-10645,"Anna Andreadi",Consumer,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,5,853.93,0.3,0,2014-06-22,2014-06-27,"Standard Class",East,"United States",Chester,Pennsylvania
CA-2017-145338,BD-11770,"Bryan Davis",Consumer,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","Office Supplies",Art,2,4.768,0.2,0.4768,2017-01-29,2017-02-01,"First Class",East,"United States",Philadelphia,Pennsylvania
CA-2017-161823,AG-10300,"Aleksandra Gannaway",Corporate,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","Office Supplies",Art,2,5.96,0,1.6688,2017-09-03,2017-09-08,"Standard Class",West,"United States","San Francisco",California
CA-2014-149958,AS-10240,"Alan Shonely",Consumer,OFF-BI-10001543,"GBC VeloBinder Manual Binding System","Office Supplies",Binders,4,43.188,0.7,-31.6712,2014-03-15,2014-03-19,"Standard Class",South,"United States",Tampa,Florida
CA-2015-118738,AG-10495,"Andrew Gjertsen",Corporate,FUR-TA-10002607,"KI Conference Tables",Furniture,Tables,7,347.361,0.3,-69.4722,2015-10-24,2015-10-30,"Standard Class",Central,"United States",Houston,Texas
US-2017-120418,BC-11125,"Becky Castell","Home Office",OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black","Office Supplies",Storage,4,68.448,0.2,7.7004,2017-06-11,2017-06-12,"First Class",West,"United States",Peoria,Arizona
CA-2016-124667,BD-11770,"Bryan Davis",Consumer,OFF-ST-10002276,"Safco Steel Mobile File Cart","Office Supplies",Storage,1,83.36,0,20.84,2016-11-11,2016-11-16,"Standard Class",East,"United States","New York City","New York"
CA-2017-103443,AT-10735,"Annie Thurman",Consumer,OFF-ST-10002276,"Safco Steel Mobile File Cart","Office Supplies",Storage,2,166.72,0,41.68,2017-12-17,2017-12-23,"Standard Class",East,"United States","New York City","New York"
